發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
107,03,29,15,54,2,01大同區,大同區民權西路108號,0,1,1,B03,2,41,3,8,50,14,09
107,03,29,15,54,2,01大同區,大同區民權西路108號,0,1,2,C03,2,58,2,8,50,14,09
107,01,07,17,42,2,01大同區,大同區重慶北路2段與南京西路口,0,1,1,B01,1,59,3,6,40,4,02
107,01,07,17,42,2,01大同區,大同區重慶北路3段與南京西路口,0,1,2,C03,1,18,2,6,40,4,02
107,01,14,09,56,2,01大同區,大同區承德路3段與民族西路口,0,1,1,C03,1,20,2,8,50,4,01
107,01,14,09,56,2,01大同區,大同區承德路3段與民族西路口,0,1,2,B03,2,49,3,8,50,4,01
107,01,27,10,28,2,01大同區,大同區承德路1段105號與承德路1段口,0,2,1,C03,1,17,2,8,50,3,02
107,01,27,10,28,2,01大同區,大同區承德路1段105號與承德路1段口,0,2,2,C03,1,22,2,8,50,3,02
107,07,27,13,42,2,01大同區,大同區長安西路250號,0,2,1,C03,2,26,2,6,0,14,09
107,07,27,13,42,2,01大同區,大同區長安西路250號,0,2,2,C03,1,26,2,6,0,14,09
107,08,16,07,35,2,01大同區,大同區承德路3段與庫倫街口,0,2,1,C03,1,29,2,8,50,14,09
107,08,16,07,35,2,01大同區,大同區承德路3段與庫倫街口,0,2,2,C03,1,46,2,8,50,14,09
107,08,16,07,35,2,01大同區,大同區承德路3段與庫倫街口,0,2,3,A02,1,54,3,8,50,14,09
107,03,14,21,49,2,01大同區,大同區承德路3段與庫倫街南側附近口南向北,0,1,1,B01,1,61,3,7,50,14,09
107,03,14,21,49,2,01大同區,大同區承德路3段與庫倫街南側附近口南向北,0,1,2,C03,2,31,2,7,50,14,09
107,04,16,20,14,2,01大同區,大同區重慶北路2段與涼州街口,0,1,1,B03,1,52,3,7,50,4,01
107,04,16,20,14,2,01大同區,大同區重慶北路2段與涼州街口,0,1,2,C03,1,20,2,7,50,4,01
107,05,26,11,10,2,01大同區,大同區承德路1段與市民大道1段口,0,1,1,B01,1,61,3,8,50,4,01
107,05,26,11,10,2,01大同區,大同區承德路1段與市民大道1段口,0,1,2,C03,1,24,2,8,50,4,01
107,06,18,15,49,2,01大同區,大同區鄭州路與延平北路1段口,0,1,1,B03,1,53,3,7,40,4,01
107,06,18,15,49,2,01大同區,大同區鄭州路與延平北路1段口,0,1,2,C03,2,20,2,7,40,4,01
107,01,04,11,44,2,01大同區,大同區伊寧街35號,0,1,1,B03,1,40,3,8,30,14,09
107,01,04,11,44,2,01大同區,大同區伊寧街35號,0,1,2,F01,2,69,2,8,30,14,09
107,01,24,11,11,2,01大同區,大同區民權西路102巷33弄與承德路2段口,0,1,1,B03,1,49,3,8,30,3,02
107,01,24,11,11,2,01大同區,大同區民權西路102巷33弄與承德路2段口,0,1,2,C03,1,22,2,8,30,3,02
107,01,24,13,52,2,01大同區,大同區承德路1段77巷與承德路1段口,0,2,1,B12,1,41,3,8,50,5,02
107,01,24,13,52,2,01大同區,大同區承德路1段77巷與承德路1段口,0,2,2,C03,2,21,2,8,50,5,02
107,01,24,13,52,2,01大同區,大同區承德路1段77巷與承德路1段口,0,2,3,H02,2,21,2,8,50,5,02
107,02,04,19,45,2,01大同區,大同區延平北路3段94號與昌吉街口,0,1,1,B01,1,60,3,6,50,5,02
