日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,平均
2017/05/01,沙鹿,PM2.5,42,50,50,49,45,43,43,37,35,30,24,24,20,16,17,18,20,26,21,14,21,34,38,36,31
2017/05/02,沙鹿,PM2.5,38,36,32,29,31,32,29,34,31,24,26,34,38,35,36,32,32,36,34,35,44,50,37,23,34
2017/05/03,沙鹿,PM2.5,29,32,31,37,36,39,41,40,41,46,,36,32,23,26,32,32,33,29,27,29,33,35,35,34
2017/05/04,沙鹿,PM2.5,35,34,35,38,41,42,44,48,52,52,51,51,49,38,,24,31,33,26,23,21,24,24,20,36
2017/05/05,沙鹿,PM2.5,23,27,29,31,31,29,30,32,28,24,25,29,35,30,22,21,21,20,23,24,27,28,33,37,27
2017/05/06,沙鹿,PM2.5,34,38,39,38,38,35,28,33,41,38,40,39,35,31,30,34,31,31,27,27,32,31,33,32,34
2017/05/07,沙鹿,PM2.5,28,31,30,21,18,21,20,16,14,19,21,20,23,22,18,20,22,27,29,30,36,40,44,42,26
2017/05/08,沙鹿,PM2.5,44,46,45,46,46,49,45,42,46,44,,34,35,32,31,32,31,33,31,30,29,29,34,39,38
2017/05/09,沙鹿,PM2.5,41,41,34,28,26,19,10,10,13,18,21,16,16,15,14,14,15,16,14,15,18,22,24,22,20
2017/05/10,沙鹿,PM2.5,23,22,16,19,24,28,25,22,22,23,28,32,31,25,19,23,27,25,22,19,21,19,21,24,23
2017/05/11,沙鹿,PM2.5,26,28,30,34,31,28,24,26,28,30,32,29,31,31,28,28,22,16,14,20,21,17,19,15,25
2017/05/12,沙鹿,PM2.5,14,21,22,20,26,32,29,28,26,23,28,31,32,29,22,16,10,9,11,8,9,15,15,12,20
2017/05/13,沙鹿,PM2.5,14,17,13,11,15,14,9,13,16,11,8,10,17,25,23,21,24,22,10,6,8,11,16,15,15
2017/05/14,沙鹿,PM2.5,13,16,13,9,12,14,16,17,20,23,20,19,22,24,22,20,16,13,18,20,19,21,25,26,18
