日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,南投,PM2.5,35,38,41,34,29,30,29,27,27,-9#,30,36,44,52,53,46,33,27,33,33,39,44,44,46
2017/01/02,南投,PM2.5,46,52,53,53,54,53,49,45,46,49,49,45,41,38,37,38,37,42,50,48,49,52,49,45
2017/01/03,南投,PM2.5,44,42,40,38,33,29,28,28,36,38,37,40,39,41,51,54,41,33,34,33,30,32,33,35
2017/01/04,南投,PM2.5,35,33,33,33,27,26,29,34,40,45,44,45,48,66,,56,59,55,47,51,56,51,48,51
2017/01/05,南投,PM2.5,58,56,48,54,57,54,50,45,39,34,34,42,44,42,41,46,68,72,60,58,60,60,59,60
2017/01/06,南投,PM2.5,56,51,45,43,44,39,37,47,63,77,82,74,58,54,60,67,67,69,68,58,54,59,62,62
2017/01/07,南投,PM2.5,60,68,73,70,67,68,64,61,57,45,40,59,76,68,51,47,55,52,54,62,61,53,45,35
2017/01/08,南投,PM2.5,30,28,26,23,23,18,19,25,25,24,20,26,32,26,24,25,28,33,34,28,28,34,35,32
2017/01/09,南投,PM2.5,30,29,-9#,22,18,23,26,27,29,29,30,29,28,32,34,34,35,38,37,37,32,29,27,25
2017/01/10,南投,PM2.5,27,27,26,29,29,28,29,30,35,37,36,33,29,34,40,43,40,43,52,54,50,48,47,48
2017/01/11,南投,PM2.5,46,47,48,42,43,45,42,41,42,48,44,40,50,53,53,53,46,37,40,41,37,39,41,40
2017/01/12,南投,PM2.5,38,39,40,40,40,42,46,48,54,64,73,73,69,60,67,62,41,37,34,29,27,24,24,28
2017/01/13,南投,PM2.5,33,37,33,28,30,33,32,30,23,22,25,,26,33,33,28,26,25,22,18,23,23,22,23
2017/01/14,南投,PM2.5,23,25,23,18,16,14,12,15,20,16,15,21,20,17,21,28,25,16,16,19,25,27,27,33
2017/01/15,南投,PM2.5,34,32,32,33,23,18,22,21,12,13,21,21,22,26,33,30,19,13,14,13,11,13,13,8
2017/01/16,南投,PM2.5,9,7,7,6,12,12,13,10,10,15,19,16,15,16,18,23,28,24,21,19,16,18,20,18
2017/01/17,南投,PM2.5,17,20,23,21,22,27,27,25,33,39,43,43,35,32,-9#,25,25,25,23,18,14,20,24,18
2017/01/18,南投,PM2.5,19,21,21,19,20,24,28,32,32,35,35,29,29,32,34,29,24,24,22,25,33,30,29,27
2017/01/19,南投,PM2.5,25,30,37,33,27,29,28,30,37,38,36,32,25,24,25,25,24,35,42,36,30,30,29,27
2017/01/20,南投,PM2.5,29,32,28,25,24,17,10,11,12,14,17,14,14,20,22,20,24,28,33,35,37,42,50,59
2017/01/21,南投,PM2.5,59,54,47,39,30,27,24,18,16,19,19,20,25,28,33,33,25,26,28,26,22,22,25,28
2017/01/22,南投,PM2.5,27,26,23,21,24,25,22,23,22,21,21,22,23,21,23,26,26,28,35,40,36,30,34,35
2017/01/23,南投,PM2.5,33,30,30,30,34,36,35,34,36,42,46,,43,39,34,34,30,24,30,34,32,33,34,34
2017/01/24,南投,PM2.5,35,32,30,34,32,28,32,35,38,41,47,51,51,48,48,43,32,26,24,20,20,18,17,15
2017/01/25,南投,PM2.5,10,9,9,10,12,12,14,14,15,22,21,18,23,27,-9#,21,22,22,20,21,22,21,21,18
2017/01/26,南投,PM2.5,17,20,18,16,16,15,22,21,19,23,22,18,14,13,15,19,27,33,29,28,34,35,33,32
2017/01/27,南投,PM2.5,30,32,29,25,26,26,26,27,28,27,25,28,28,17,10,10,18,27,29,30,36,39,32,30
2017/01/28,南投,PM2.5,35,30,24,20,18,19,19,27,36,27,19,17,19,16,11,18,24,23,24,28,32,34,35,38
2017/01/29,南投,PM2.5,39,35,32,28,23,20,21,27,34,37,36,26,20,24,22,16,17,18,23,36,38,38,39,38
2017/01/30,南投,PM2.5,42,41,40,43,40,39,43,45,47,42,34,24,25,43,48,32,19,16,13,12,9,6,8,8
2017/01/31,南投,PM2.5,9,9,10,14,13,12,14,12,10,8,10,13,13,15,18,16,15,17,17,15,14,17,19,16
2017/02/01,南投,PM2.5,15,13,11,9,8,12,12,9,12,14,14,17,19,19,19,17,12,11,12,12,10,8,10,6
2017/02/02,南投,PM2.5,8,9,6,6,5,4,3,4,8,6,8,15,18,22,24,24,24,25,24,28,29,25,24,27
2017/02/03,南投,PM2.5,27,23,26,29,28,32,34,35,35,39,42,39,37,-9#,33,29,23,22,22,20,18,18,17,18
2017/02/04,南投,PM2.5,23,23,25,26,25,24,20,21,27,33,35,35,35,32,22,24,26,26,29,32,33,35,40,51
2017/02/05,南投,PM2.5,55,46,38,29,26,28,24,27,34,35,36,35,37,30,36,40,32,34,38,39,34,33,33,33
2017/02/06,南投,PM2.5,32,23,20,21,24,25,22,23,25,29,32,-9#,39,40,36,39,48,50,52,48,42,40,40,41
2017/02/07,南投,PM2.5,41,38,39,36,33,36,36,37,39,50,58,56,57,61,62,63,68,52,37,39,39,42,49,46
2017/02/08,南投,PM2.5,45,47,47,48,49,48,41,37,42,43,51,59,56,57,51,38,37,38,35,34,35,36,32,24
2017/02/09,南投,PM2.5,22,21,21,10,3,5,3,3,4,8,10,9,8,9,15,15,16,17,21,22,24,29,38,46
2017/02/10,南投,PM2.5,48,47,42,35,34,33,35,35,37,40,41,46,46,47,46,45,45,48,49,44,41,42,46,51
2017/02/11,南投,PM2.5,52,49,42,34,28,25,32,40,45,46,45,39,36,-9#,35,41,51,56,47,34,30,28,32,29
2017/02/12,南投,PM2.5,25,24,26,28,28,27,27,21,17,22,30,34,32,26,27,32,29,35,36,29,20,18,25,32
2017/02/13,南投,PM2.5,28,20,16,19,22,20,21,25,29,36,30,26,33,33,29,25,25,27,28,30,37,39,37,37
2017/02/14,南投,PM2.5,33,30,28,29,28,26,27,28,27,26,27,26,30,33,33,30,25,28,33,39,45,44,47,50
2017/02/15,南投,PM2.5,49,53,51,47,46,44,40,39,45,44,-9#,28,41,45,29,27,25,23,27,35,45,48,49,51
2017/02/16,南投,PM2.5,48,50,45,33,34,30,29,39,54,68,60,49,46,32,21,19,14,15,15,18,22,23,23,20
2017/02/17,南投,PM2.5,21,23,20,20,21,19,18,20,20,18,17,14,15,23,27,25,29,37,38,29,28,33,35,35
2017/02/18,南投,PM2.5,34,34,35,34,32,34,39,38,42,46,46,49,48,59,71,64,57,54,53,48,47,52,51,49
2017/02/19,南投,PM2.5,46,44,48,48,47,44,43,46,47,50,54,60,64,56,56,57,47,43,50,57,54,51,59,60
2017/02/20,南投,PM2.5,53,51,51,47,39,33,30,35,37,33,30,28,29,30,42,56,55,53,53,52,51,53,55,55
2017/02/21,南投,PM2.5,57,57,58,57,49,41,33,27,24,26,34,38,36,37,38,35,33,34,35,35,38,37,32,27
2017/02/22,南投,PM2.5,30,38,45,40,37,40,39,39,43,52,50,-9#,38,34,28,22,21,28,34,33,32,33,36,36
2017/02/23,南投,PM2.5,29,25,26,28,24,22,23,29,36,40,49,54,54,49,41,36,30,27,23,19,21,25,21,17
2017/02/24,南投,PM2.5,19,17,16,14,9,11,11,13,18,19,24,24,18,12,9,10,11,12,12,11,15,18,-9#,18
2017/02/25,南投,PM2.5,16,17,18,20,18,17,20,18,15,16,17,16,16,19,18,13,11,13,15,18,20,19,19,20
2017/02/26,南投,PM2.5,22,22,22,17,10,10,10,8,8,7,5,6,6,6,7,12,16,19,21,18,19,19,14,19
2017/02/27,南投,PM2.5,26,26,27,25,23,20,19,22,22,18,21,27,33,36,38,40,40,40,35,27,34,38,35,39
2017/02/28,南投,PM2.5,44,46,45,42,42,42,40,41,48,53,49,52,57,55,52,48,47,62,54,33,32,34,35,35
2017/03/01,南投,PM2.5,38,39,37,38,37,29,34,42,38,34,38,42,41,32,25,28,30,32,33,27,26,32,35,36
2017/03/02,南投,PM2.5,35,34,40,38,33,29,33,40,47,50,53,57,54,48,46,44,40,41,40,33,30,28,27,28
2017/03/03,南投,PM2.5,29,33,34,34,33,34,34,37,43,48,-9#,61,62,66,50,37,37,36,36,34,35,34,33,37
