日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,avg
2017/01/01,沙鹿,PM2.5,21,33,39,35,35,31,31,35,44,49,48,40,20,9,14,23,27,23,27,32,28,24,24,21,30
2017/01/02,沙鹿,PM2.5,26,38,50,58,62,61,61,64,53,28,18,21,23,17,19,29,31,36,46,49,49,43,36,36,40
2017/01/03,沙鹿,PM2.5,36,39,44,42,38,31,29,33,28,21,16,16,14,14,16,17,18,21,24,23,21,23,22,17,25
2017/01/04,沙鹿,PM2.5,18,18,15,21,22,20,23,23,24,24,20,22,22,16,15,21,25,128*,130*,28,34,33,31,33,23
2017/01/05,沙鹿,PM2.5,36,40,45,52,63,72,73,74,67,53,52,60,69,79,76,52,35,37,47,44,41,43,42,38,54
2017/01/06,沙鹿,PM2.5,43,49,48,46,37,30,30,33,43,48,,54,49,43,41,38,34,31,29,28,30,30,22,17,37
2017/01/07,沙鹿,PM2.5,16,14,16,15,10,27,42,48,50,35,20,18,18,21,21,28,35,35,36,43,50,46,49,47,31
2017/01/08,沙鹿,PM2.5,28,19,21,17,10,10,17,18,24,30,29,29,25,23,23,23,23,18,18,22,24,22,13,12,21
2017/01/09,沙鹿,PM2.5,10,6,10,14,13,12,14,18,14,13,19,21,21,27,23,23,30,24,19,21,21,21,23,24,18
2017/01/10,沙鹿,PM2.5,22,23,25,29,31,29,28,25,24,25,24,28,29,25,26,36,39,36,38,38,35,34,31,29,30
2017/01/11,沙鹿,PM2.5,28,26,26,32,33,32,35,35,34,33,33,28,23,21,18,21,27,26,23,20,16,16,21,23,26
2017/01/12,沙鹿,PM2.5,18,17,25,25,23,28,29,35,44,37,25,19,15,10,,10,10,9,7,7,6,2,1,7,18
2017/01/13,沙鹿,PM2.5,11,9,10,12,12,10,5,6,7,6,10,10,12,13,8,7,8,8,15,18,17,22,21,17,11
2017/01/14,沙鹿,PM2.5,15,13,10,8,13,20,22,21,15,10,11,12,9,5,5,7,15,19,20,26,27,25,26,21,16
2017/01/15,沙鹿,PM2.5,15,12,10,8,7,5,4,4,5,6,5,5,4,4,4,1,1,3,3,3,6,7,4,4,5
2017/01/16,沙鹿,PM2.5,4,6,3,4,6,4,4,4,5,1,1,4,2,4,7,4,4,4,5,9,10,10,9,12,5
2017/01/17,沙鹿,PM2.5,11,10,11,11,14,11,7,6,8,13,14,13,15,14,11,7,4,6,12,11,10,10,10,7,10
2017/01/18,沙鹿,PM2.5,7,12,13,10,10,11,9,10,12,13,10,7,11,9,9,15,17,17,19,23,24,23,25,25,14
2017/01/19,沙鹿,PM2.5,26,26,28,29,28,28,22,16,12,11,14,13,14,14,12,15,21,23,17,16,19,19,20,20,19
2017/01/20,沙鹿,PM2.5,23,25,15,7,5,2,3,6,7,9,9,10,11,13,16,17,22,29,28,30,29,24,24,28,16
2017/01/21,沙鹿,PM2.5,32,31,26,16,11,7,6,9,12,11,12,14,15,15,16,13,15,20,23,21,18,19,19,17,17
2017/01/22,沙鹿,PM2.5,13,11,11,9,10,12,10,10,15,16,17,37,61,52,28,20,26,26,21,24,24,22,22,21,22
2017/01/23,沙鹿,PM2.5,28,29,24,22,20,16,12,12,15,14,14,20,24,21,,39,52,96,117,82,42,26,29,32,34
2017/01/24,沙鹿,PM2.5,29,23,22,22,19,15,12,13,13,18,17,14,16,15,12,14,18,15,12,11,10,10,11,10,15
2017/01/25,沙鹿,PM2.5,5,6,7,4,5,6,3,4,8,7,10,16,14,11,12,11,13,13,15,18,14,14,17,16,10
2017/01/26,沙鹿,PM2.5,18,18,13,11,13,12,11,11,7,7,-2#,9,12,16,18,24,22,13,16,23,20,16,18,24,15
2017/01/27,沙鹿,PM2.5,52,56,28,20,26,32,28,27,24,21,17,14,12,10,11,12,13,19,24,23,23,24,30,31,24
2017/01/28,沙鹿,PM2.5,33,38,32,20,12,9,12,17,21,16,8,15,19,14,13,20,27,24,22,23,27,29,33,38,22
2017/01/29,沙鹿,PM2.5,38,45,44,39,38,34,28,28,32,32,34,35,32,22,10,5,14,28,28,24,26,28,26,27,29
2017/01/30,沙鹿,PM2.5,25,16,13,15,7,6,14,15,17,20,39,56,47,27,14,15,17,14,14,10,9,11,14,16,19
2017/01/31,沙鹿,PM2.5,11,10,9,7,5,7,6,8,8,6,10,11,8,9,12,12,6,6,11,10,7,8,14,13,9
2017/02/01,沙鹿,PM2.5,4,1,3,4,7,5,4,4,8,10,-2#,13,11,9,8,10,10,7,10,12,11,13,10,5,8
2017/02/02,沙鹿,PM2.5,4,2,1,3,1,1,1,1,4,4,4,7,16,22,23,28,25,21,22,19,17,18,23,23,12
2017/02/03,沙鹿,PM2.5,17,17,20,20,18,15,12,13,11,8,12,19,15,6,7,12,13,13,15,13,8,7,7,8,13
2017/02/04,沙鹿,PM2.5,5,4,7,4,4,5,4,5,7,14,18,19,23,22,23,20,18,26,26,22,22,27,30,31,16
2017/02/05,沙鹿,PM2.5,44,48,35,28,27,28,29,31,35,30,31,38,33,25,20,21,25,25,23,28,27,22,19,15,29
2017/02/06,沙鹿,PM2.5,17,22,19,18,23,26,26,26,29,30,36,46,44,40,39,38,38,39,36,31,31,33,30,30,31
2017/02/07,沙鹿,PM2.5,35,32,30,33,33,35,38,39,41,39,36,29,21,15,12,11,13,19,22,23,24,21,22,17,27
2017/02/08,沙鹿,PM2.5,15,16,13,16,18,20,19,13,12,11,21,28,18,12,12,17,20,20,20,22,28,25,21,19,18
2017/02/09,沙鹿,PM2.5,13,5,1,1,1,1,1,1,2,5,7,8,10,14,11,11,17,23,28,29,36,42,43,38,15
2017/02/10,沙鹿,PM2.5,,,,,,,,,35,41,-2#,-2#,33,37,43,45,42,36,34,42,49,46,46,43,41
2017/02/11,沙鹿,PM2.5,37,28,18,19,24,24,18,15,18,24,27,23,21,28,28,21,21,21,22,21,22,22,19,18,22
2017/02/12,沙鹿,PM2.5,17,14,18,19,20,22,20,22,20,17,26,26,23,24,28,25,18,20,21,21,20,23,17,9,20
2017/02/13,沙鹿,PM2.5,9,13,8,4,7,7,10,15,12,11,15,17,11,10,15,21,25,23,21,23,27,25,36,54,17
2017/02/14,沙鹿,PM2.5,51,33,24,33,30,18,16,19,24,28,29,29,24,21,23,22,25,24,22,22,25,26,26,28,26
2017/02/15,沙鹿,PM2.5,34,36,34,38,43,43,41,50,51,44,38,28,19,16,23,28,30,30,25,29,33,33,40,35,34
2017/02/16,沙鹿,PM2.5,35,39,54,67,61,58,59,54,47,46,43,40,29,20,23,24,26,30,43,38,23,20,18,20,38
2017/02/17,沙鹿,PM2.5,19,19,21,18,18,17,14,14,18,21,-2#,14,6,4,12,14,15,22,22,22,33,29,21,25,18
2017/02/18,沙鹿,PM2.5,30,35,43,55,72,76,69,66,64,63,59,53,49,44,38,34,31,30,33,38,32,28,31,29,46
2017/02/19,沙鹿,PM2.5,28,26,24,23,22,23,28,31,36,38,42,47,39,28,32,41,42,44,47,52,55,65,71,72,40
2017/02/20,沙鹿,PM2.5,74,76,68,49,35,35,30,23,27,29,35,33,30,38,36,33,36,39,47,54,58,53,38,35,42
2017/02/21,沙鹿,PM2.5,46,47,30,21,25,27,23,19,13,12,14,16,21,19,18,23,25,24,22,20,16,14,16,18,22
